Sample,Chromosome,direction,start_index,end_index,position_block_size,start_position,end_position,chr_distance,start_value,end_value,value_change,measure_density,crosses_zero
Sample1,1,-1,1,12,11,530000,640000,110000,-0.2298863808902554,-0.268127496539947,-0.0382411156496916,1,FALSE
Sample1,1,1,12,54,42,640000,1140000,500000,-0.268127496539947,0.024580313415799075,0.2927078099557461,0.84,TRUE
Sample1,1,-1,54,76,22,1140000,1360000,220000,0.024580313415799075,-0.06002179533504981,-0.08460210875084889,1,TRUE
Sample1,1,1,76,93,17,1360000,1530000,170000,-0.06002179533504981,-0.012727721129091164,0.047294074205958644,1,FALSE
Sample1,1,-1,93,125,32,1530000,1850000,320000,-0.012727721129091164,-0.04786949241580324,-0.03514177128671207,1,FALSE
Sample1,1,1,125,146,21,1850000,2060000,210000,-0.04786949241580324,0.036544589321142434,0.08441408173694567,1,TRUE
Sample1,1,-1,146,158,12,2060000,2180000,120000,0.036544589321142434,0.010986465740828665,-0.02555812358031377,1,FALSE
Sample1,1,1,158,203,45,2180000,2630000,450000,0.010986465740828665,0.11854275547731224,0.10755628973648358,1,FALSE
Sample1,1,-1,203,271,68,2630000,3330000,700000,0.11854275547731224,-0.13956185098953972,-0.25810460646685196,0.9714285714285714,TRUE
Sample1,1,1,271,335,64,3330000,3970000,640000,-0.13956185098953972,0.16338396098196387,0.3029458119715036,1,TRUE
Sample1,1,-1,335,386,51,3970000,4480000,510000,0.16338396098196387,-0.01134147905394552,-0.1747254400359094,1,TRUE
Sample1,1,1,386,410,24,4480000,4720000,240000,-0.01134147905394552,0.0376677379472155,0.04900921700116102,1,TRUE
Sample1,1,-1,410,523,113,4720000,5850000,1130000,0.0376677379472155,-0.19996088577767704,-0.23762862372489255,1,TRUE
Sample1,1,1,523,559,36,5850000,6210000,360000,-0.19996088577767704,-0.07250871399947173,0.1274521717782053,1,FALSE
Sample1,1,-1,559,569,10,6210000,6310000,100000,-0.07250871399947173,-0.09003742602522827,-0.017528712025756538,1,FALSE
Sample1,1,1,569,623,54,6310000,6850000,540000,-0.09003742602522827,0.12302442025506703,0.2130618462802953,1,TRUE
Sample1,1,-1,623,668,45,6850000,7300000,450000,0.12302442025506703,-0.06323645598501519,-0.18626087624008222,1,TRUE
Sample1,1,1,668,679,11,7300000,7410000,110000,-0.06323645598501519,-0.04138500152079667,0.021851454464218524,1,FALSE
Sample1,1,-1,679,699,20,7410000,7610000,200000,-0.04138500152079667,-0.06524685768838992,-0.023861856167593253,1,FALSE
Sample1,1,1,699,710,11,7610000,7720000,110000,-0.06524685768838992,-0.04841594848644778,0.01683090920194214,1,FALSE
Sample1,1,-1,710,731,21,7720000,7930000,210000,-0.04841594848644778,-0.10309420036656464,-0.05467825188011686,1,FALSE
Sample1,1,1,731,780,49,7930000,8420000,490000,-0.10309420036656464,0.1281271066479075,0.23122130701447213,1,TRUE
Sample1,1,-1,780,811,31,8420000,8730000,310000,0.1281271066479075,-0.16310430214865565,-0.2912314087965632,1,TRUE
Sample1,1,1,811,835,24,8730000,8970000,240000,-0.16310430214865565,0.010740502658868147,0.1738448048075238,1,TRUE
Sample1,1,-1,835,850,15,8970000,9120000,150000,0.010740502658868147,-0.03927836040193387,-0.05001886306080202,1,TRUE
Sample1,1,1,850,874,24,9120000,9360000,240000,-0.03927836040193387,0.0398142611242858,0.07909262152621968,1,TRUE
Sample1,1,-1,874,923,49,9360000,9850000,490000,0.0398142611242858,-0.05684440735944835,-0.09665866848373415,1,TRUE
Sample1,1,1,923,946,23,9850000,10080000,230000,-0.05684440735944835,0.04092806451350708,0.09777247187295543,1,TRUE
Sample1,1,-1,946,957,11,10080000,10190000,110000,0.04092806451350708,0.014384281158853053,-0.026543783354654023,1,FALSE
Sample1,1,1,957,984,27,10190000,10460000,270000,0.014384281158853053,0.04297334010753921,0.028589058948686158,1,FALSE
Sample1,1,-1,984,1015,31,10460000,10770000,310000,0.04297334010753921,-0.08393052924328537,-0.1269038693508246,1,TRUE
Sample1,1,1,1015,1048,33,10770000,11100000,330000,-0.08393052924328537,0.07241952770509227,0.15635005694837764,1,TRUE
Sample1,1,-1,1048,1067,19,11100000,11290000,190000,0.07241952770509227,-0.0320882763444169,-0.10450780404950917,1,TRUE
Sample1,1,1,1067,1080,13,11290000,11420000,130000,-0.0320882763444169,-0.01340633754749527,0.018681938796921628,1,FALSE
Sample1,1,-1,1080,1099,19,11420000,11610000,190000,-0.01340633754749527,-0.08564110140920098,-0.0722347638617057,1,FALSE
Sample1,1,1,1099,1120,21,11610000,11820000,210000,-0.08564110140920098,0.003643611212124068,0.08928471262132505,1,TRUE
Sample1,1,-1,1120,1138,18,11820000,12000000,180000,0.003643611212124068,-0.024627137948696608,-0.028270749160820674,1,TRUE
Sample1,1,1,1138,1167,29,12000000,12290000,290000,-0.024627137948696608,0.17000978877340972,0.19463692672210633,1,TRUE
Sample1,1,-1,1167,1189,22,12290000,12510000,220000,0.17000978877340972,0.03570906386363793,-0.1343007249097718,1,FALSE
